I,slug,views,revenue,rpm,cpm,viewability,fillRate,impressionsPerPageview
235,/article/dave-bautista-surprising-condition-mcu-return,824,12.25,14.87,1.55,0.66,0.97,9.57
236,/article/chilean-star-wars-broadcast-goes-viral/,789,9.44,11.97,1.38,0.63,0.97,8.64
237,/article/did-truman-capote-really-eat-a-swan,789,12.64,16.02,1.17,0.74,0.99,13.65
238,/article/where-to-watch-and-stream-godzilla-x-kong-the-new-empire-free-online,784,2.36,3.02,1.33,0.48,0.73,2.25
239,/article/the-good-doctor-season-7-episode-3-delay,776,12.97,16.71,1.68,0.66,0.92,9.94
240,/article/boruto-naruto-next-generations-part-2-release-date-trailer-plot-all-you-need-to-know,756,4.15,5.49,0.85,0.7,0.66,6.45
241,/article/maia-mitchell-scar-on-head,751,7.7,10.25,1.17,0.59,0.97,8.7
242,/article/is-the-dog-alive-arthur-the-king-movie,741,28.28,38.17,1.38,0.7,0.92,27.49
243,/article/where-is-the-mansard-house-now,736,17.25,23.44,1.66,0.59,0.95,14.05
244,/article/ishura-who-killed-demon-king-theories-explained,729,2.72,3.73,0.96,0.66,0.54,3.87
245,/article/henry-cavill-wolverine-variant-deadpool-and-wolverine/,726,6.03,8.31,1.38,0.55,0.97,5.99
246,/article/has-zac-effrons-face-shape-changed-his-response-to-plastic-surgery-rumors,720,14.46,20.08,1.37,0.69,0.96,14.65
247,/article/jenifer-lewis-injury,716,7.58,10.59,0.85,0.73,0.98,12.43
248,/article/kristen-stewart-marvel-movie-greta-gerwig-condition/,709,7.23,10.2,1.63,0.6,0.96,6.23
249,/article/fans-air-disapproval-for-star-wars-the-acolyte-trailer/,696,12.67,18.2,1.79,0.69,0.97,10.15
250,/article/doctor-elise-season-2-news-predictions,696,4.16,5.98,1.16,0.61,0.73,5.13
251,/article/who-does-tomozaki-end-up-with-bottom-tier-character-tomozaki,692,3.67,5.31,1.02,0.58,0.78,5.19
252,/article/guideau-true-form-witch-and-the-beast,676,5.93,8.78,1.19,0.66,0.77,7.35
253,/article/who-is-rick-in-feud-capote-vs-the-swans-and-is-he-based-on-a-real-person,676,9.17,13.57,1.33,0.71,0.99,10.17
254,/article/min-kyung-min-doctor-slump,671,13.72,20.45,1.01,0.67,0.76,20.19
255,/article/do-the-forgers-find-out-about-each-other-in-spy-x-family,664,4.39,6.61,0.73,0.65,0.87,8.95
256,/article/star-wars-rogue-squadron-development-update,659,22.51,34.16,1.38,0.61,0.87,24.67
257,/article/venom-3-official-title-new-release-date,650,14.14,21.76,1.58,0.61,0.9,13.69
258,/article/the-acolyte-showrunner-shorter-episode-runtimes/,639,7.27,11.38,1.55,0.56,0.97,7.3
259,/article/is-emma-samanda-good-evil-ninja-kamui,637,1.95,3.06,0.74,0.69,0.55,4.08
260,/article/bob-marley-delaware-house,632,6.67,10.55,0.91,0.74,0.99,11.55
261,/article/the-mandalorian-and-grogu-filming-location,617,7.2,11.67,1.52,0.66,0.97,7.66
262,/article/is-miraculous-ladybug-season-5-coming-to-netflix,601,6.05,10.07,1.3,0.59,0.94,7.72
263,/article/black-widow-ray-winstone-mcu-soul-destroying/,572,5.07,8.87,1.19,0.68,0.96,7.41
264,/article/is-the-man-who-saved-me-on-my-isekai-trip-manga-over,569,1.42,2.5,0.65,0.59,0.61,3.81
265,/article/cz-guest-diego-rivera-painting,553,9.76,17.65,1.29,0.74,0.98,13.61
266,/article/best-bl-anime-on-hulu,552,9.81,17.78,1.2,0.59,0.98,14.81
