"Task ID","Task Name","Assignee","Due Date","Priority","CMS LINK (url)","Retime frequency (drop down)","Status","Genre of Content (labels)"
"862k2c32g","Will Karim Benzema be in EA Sports FC?","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;fcfb65ae-f7f9-4d9c-a5a4-c3feb7e58507","","published",""
"863h6au7g","Will the National League be in EA Sports FC?","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;20dd805a-1c00-4e3a-8d4b-963f3d51010a","","published",""
"863h77fzf","Will Pro clubs have cross play?","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;75784f38-82ff-4ca1-a771-587601881192","","published",""
"862k46d3m","Will Messi be in EA Sports FC?","[Riccardo Martone]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;30fe8179-702d-4285-a159-5a979d7693ea","","published",""
"862k7chcb","Will Sadio Mane be in EA FC 24?","[Riccardo Martone]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;2fdf40a8-b3b1-48ef-a163-69079c013df1%2Ctemplate%3Darticle","","published",""
"862jx1ru7","Will the EFL be in EA Sports FC?","[Riccardo Martone]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mypublished;6eccb761-dc5a-42d2-accc-48a851b82371%2Ctemplate%3Darticle","","published",""
"862k7nzxm","Will Fabinho be in EA FC 24?","[]","","none","","","published",""
"861n641u9","Will Napoli be in EA FC 24?","[Riccardo Martone]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;48b53ba3-4628-4103-9497-50f669555809%2Ctemplate%3Darticle","","published",""
"862jx1rkp","Will Cristiano Ronaldo be in EA Sports FC?","[Riccardo Martone]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;0a977866-607d-459b-b0b9-ca1fefc21f59","","published",""
"862kby9jh","EA FC 24: How to power shot","[Nathan Salmon]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;5e7aee6f-e83f-44d9-96dd-433251d7ebb9","","published",""
"862kby9we","EA FC 24: Can you manage club and country","[Nathan Salmon]","","none","","","published",""
"862k93kmq","EA FC Celebrations: How to griddy, shush, more","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;c0c17e40-5b4e-4a6e-a8ea-bc8f1d4cace2","","to update",""
"862kby9kh","EA FC 24: How to defend","[]","","none","","","to write",""
"862kby9mg","EA FC 24: How to score free kicks","[]","","none","","","to write",""
"862kby9pz","EA FC 24: How to skip training","[]","","none","","","to write",""
"862kby9qu","EA FC 24: How to play online","[]","","none","","","to write",""
"862kby9rw","EA FC 24: How to  find regens","[Nathan Salmon]","","none","","","to write",""
"862kby9tg","EA FC 24: How to stop the ball","[]","","none","","","to write",""
"862kby9wq","EA FC 24: Can you make your own team","[]","","none","","","to write",""
"862kby9wz","EA FC 24: Can you change stadium","[]","","none","","","to write",""
"862kby9xm","EA FC 24: Can you become captain","[]","","none","","","to write",""
"863h6ag2v","EA Sports FC Mobile Hub","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;feb66327-ac68-44c7-80e7-93964d6d3fa8","","complete",""
"862k7nzv7","EA Sports FC Mobile: Release Date, Leaks, New Features & More","[]","","none","","","to update",""
"862jv0g07","Best EA FC Mobile team","[]","","URGENT","","","to write",""
"862k7nz71","EA FC Mobile - Training guide","[]","","none","","","to write",""
"862k7nz8h","EA FC Mobile - Best control settings","[]","","none","","","to write",""
"862k7nzng","EA FC Mobile Ratings - The best players in FC Mobile","[]","","none","","","to write",""
